LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Frequency,Frequency Stability,Normal temperature Frequency Tolerance,Output Type,Voltage - Supply,Current - Supply,Operating Temperature,Load Capacitance,Equivalent Series Resistance(ESR),Features
C271654,SF32WK32768D31T002,TKD,https://datasheet.lcsc.com/datasheet/pdf/d0523dc60fbc89f880c7365ef3df966b.pdf?productCode=C271654,49005,0.1701,5,5,https://www.lcsc.com/product-detail/C271654.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,-,±20ppm,,,,-40℃~+85℃,12.5pF,70kΩ,
C479190,S3132768092070,JGHC,https://datasheet.lcsc.com/datasheet/pdf/63c66e7005ee2cc04644be25ccdb87e5.pdf?productCode=C479190,48725,0.2233,5,5,https://www.lcsc.com/product-detail/C479190.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,,±20ppm,,,,-40℃~+85℃,9pF,70kΩ,
C99010,Q13FC13500003,EPSON,https://datasheet.lcsc.com/datasheet/pdf/da5e584b9577ee5ada9e6cbc708a453b.pdf?productCode=C99010,45035,0.1967,5,5,https://www.lcsc.com/product-detail/C99010.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,,±20ppm,,,,-40℃~+85℃,9pF,70kΩ,
C97606,SC-32S32.768kHz20PPM12.5pF,Seiko,https://datasheet.lcsc.com/datasheet/pdf/5f668e9c78a243a087178f513ba03911.pdf?productCode=C97606,44935,0.2218,5,5,https://www.lcsc.com/product-detail/C97606.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,,±20ppm,,,,-40℃~+85℃,12.5pF,,
C2965580,XL7EL89CKI-111YLC-24M,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/ad6cf9d6a13c44ee093982142880c7b3.pdf?productCode=C2965580,35790,0.0817,5,5,https://www.lcsc.com/product-detail/C2965580.html,SMD2016-4P,Tape & Reel (TR),24MHz,±20ppm,±10ppm,,,,-40℃~+85℃,8pF,100Ω,
C2965584,XL7EL89COI-111YLC-32M,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/03f32cc3dfdcdfc9fffa8449db791193.pdf?productCode=C2965584,35770,0.0925,5,5,https://www.lcsc.com/product-detail/C2965584.html,SMD2016-4P,Tape & Reel (TR),32MHz,±20ppm,±10ppm,,,,-40℃~+85℃,12pF,80Ω,
C20617558,XL7LI-111-16M,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/03f32cc3dfdcdfc9fffa8449db791193.pdf?productCode=C20617558,33870,0.0922,5,5,https://www.lcsc.com/product-detail/C20617558.html,SMD2016-4P,Tape & Reel (TR),16MHz,±20ppm,±10ppm,,,,-40℃~+85℃,9pF,100Ω,
C37635325,XTM20024000DT00351001,TOGNJING,https://datasheet.lcsc.com/datasheet/pdf/fb9cdf0764a7fd64af68f813a9470953.pdf?productCode=C37635325,33410,0.0519,10,10,https://www.lcsc.com/product-detail/C37635325.html,SMD2016-4P,Tape & Reel (TR),24MHz,±10ppm,±10ppm,,,,-20℃~+70℃,8pF,60Ω,
C7303340,T201624MBBCE2X,Yajingxin,https://datasheet.lcsc.com/datasheet/pdf/61362926c6a1c3edf45de6aa0a6a70a5.pdf?productCode=C7303340,30370,0.0742,10,10,https://www.lcsc.com/product-detail/C7303340.html,SMD2016-4P,Tape & Reel (TR),24MHz,±30ppm,±10ppm,,,,-40℃~+85℃,8pF,40Ω,
C20885029,T201640MFBDE2X,Yajingxin,https://datasheet.lcsc.com/datasheet/pdf/6199645382d2df86617a59ca9f9751d2.pdf?productCode=C20885029,29960,0.0799,10,10,https://www.lcsc.com/product-detail/C20885029.html,SMD2016-4P,Tape & Reel (TR),40MHz,±30ppm,±10ppm,,,,-30℃~+85℃,12pF,40Ω,
