"LCSC Part#","MPN","Manufacturer","Availability","Minimum","Multiples","Product Detail","Package","Packaging","Diode Configuration","Pd - Power Dissipation","Zener Voltage(Nom)","Reverse Leakage Current (Ir)","Zener Voltage(Range)","Operating Junction Temperature Range","Impedance(Zzt)","Impedance(Zzk)","Tolerance"
"C707161","MMSZ5229B","Slkor","600","20","20","https://www.lcsc.com/product-detail/C707161.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","4.3V","5uA@1V","4.09V~4.52V","-55℃~+150℃","22Ω","2kΩ","-"
"C707163","MMSZ5231B","Slkor","300","20","20","https://www.lcsc.com/product-detail/C707163.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","5.1V","5uA@2V","4.85V~5.36V","-55℃~+150℃","17Ω","1.6kΩ","±5%"
"C707164","MMSZ5232B","Slkor","200","20","20","https://www.lcsc.com/product-detail/C707164.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","5.5V","5uA@3V","5.32V~5.88V","-55℃~+150℃","11Ω","1.6kΩ","-"
"C707167","MMSZ5236B","Slkor","2880","20","20","https://www.lcsc.com/product-detail/C707167.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","7.5V","3uA@6V","7.13V~7.88V","-55℃~+150℃","6Ω","500Ω","-"
"C707168","MMSZ5237B","Slkor","2480","20","20","https://www.lcsc.com/product-detail/C707168.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","8.2V","3uA@6V","7.79V~8.61V","-55℃~+150℃","8Ω","500Ω","±5%"
"C707170","MMSZ5240B","Slkor","620","20","20","https://www.lcsc.com/product-detail/C707170.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","10V","3uA@8V","9.5V~10.5V","-55℃~+150℃","17Ω","600Ω","-"
"C707172","MMSZ5242B","Slkor","5300","20","20","https://www.lcsc.com/product-detail/C707172.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","13V","2uA@9.1V","11.4V~12.6V","-55℃~+150℃","30Ω","600Ω","±5%"
"C707173","MMSZ5243B","Slkor","2900","20","20","https://www.lcsc.com/product-detail/C707173.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","13V","1uA@9.9V","12.35V~13.65V","-55℃~+150℃","13Ω","600Ω","-"
"C707174","MMSZ5245B","Slkor","21260","20","20","https://www.lcsc.com/product-detail/C707174.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","15V","500nA@11V","14.25V~15.75V","-55℃~+150℃","16Ω","600Ω","-"
"C707175","MMSZ5246B","Slkor","2920","20","20","https://www.lcsc.com/product-detail/C707175.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","16V","100nA@12V","15.2V~16.8V","-55℃~+150℃","17Ω","600Ω","-"
"C707176","MMSZ5248B","Slkor","2260","20","20","https://www.lcsc.com/product-detail/C707176.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","18V","100nA@14V","17.1V~18.9V","-55℃~+150℃","21Ω","600Ω","±5%"
"C707177","MMSZ5250B","Slkor","2280","20","20","https://www.lcsc.com/product-detail/C707177.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","20V","100nA@15V","19V~21V","-55℃~+150℃","25Ω","600Ω","±5%"
"C707179","MMSZ5252B","Slkor","3000","20","20","https://www.lcsc.com/product-detail/C707179.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","24V","100nA@18V","22.8V~25.2V","-55℃~+150℃","33Ω","600Ω","-"
"C721430","BZX84C16-TP","MCC","1260","20","20","https://www.lcsc.com/product-detail/C721430.html","SOT-23","Tape & Reel (TR)","1 Independent","350mW","16V","100nA@11.2V","15.3V~17.1V","-55℃~+150℃","40Ω","200Ω","±5%"
"C730379","SZBZX84C18LT1G","onsemi","4920","20","20","https://www.lcsc.com/product-detail/C730379.html","SOT-23","Tape & Reel (TR)","1 Independent","250mW","18V","50nA@12.6V","16.8V~19.1V","-65℃~+150℃","45Ω","-","-"
"C780796","BZX84C15W-7-F","DIODES","650","10","10","https://www.lcsc.com/product-detail/C780796.html","SOT-323","Tape & Reel (TR)","1 Independent","200mW","15V","100nA@10.5V","13.8V~15.6V","-65℃~+125℃","30Ω","170Ω","-"
"C780865","MMSZ5221B-7-F","DIODES","1560","20","20","https://www.lcsc.com/product-detail/C780865.html","SOD-123","Tape & Reel (TR)","1 Independent","370mW","2.4V","100uA@1V","2.28V~2.52V","-65℃~+150℃","30Ω","1.2kΩ",""
"C781890","MMSZ5231BQ-7-F","DIODES","1290","10","10","https://www.lcsc.com/product-detail/C781890.html","SOD-123","Tape & Reel (TR)","1 Independent","370mW","5.1V","5uA@2V","4.85V~5.36V","-65℃~+150℃","17Ω","1.6kΩ",""
"C841151","BZX84C12","LGE","500","50","50","https://www.lcsc.com/product-detail/C841151.html","SOT-23","Tape & Reel (TR)","1 Independent","350mW","12V","100nA","11.4V~12.7V","-65℃~+150℃","25Ω","150Ω","-"
"C841152","BZX84C24","LGE","2900","50","50","https://www.lcsc.com/product-detail/C841152.html","SOT-23","Tape & Reel (TR)","1 Independent","350mW","24V","100nA@16.8V","22.8V~25.6V","-65℃~+150℃","70Ω","250Ω","-"
"C841153","BZX84C30","LGE","1300","50","50","https://www.lcsc.com/product-detail/C841153.html","SOT-23","Tape & Reel (TR)","1 Independent","350mW","30V","100nA","28V~32V","-65℃~+150℃","80Ω","300Ω","-"
"C841154","BZX84C33","LGE","350","50","50","https://www.lcsc.com/product-detail/C841154.html","SOT-23","Tape & Reel (TR)","1 Independent","350mW","33V","100nA","31V~35V","-65℃~+150℃","80Ω","325Ω","-"
"C841156","BZX84C3V6","LGE","15250","50","50","https://www.lcsc.com/product-detail/C841156.html","SOT-23","Tape & Reel (TR)","1 Independent","350mW","3.6V","5uA","3.4V~3.8V","-65℃~+150℃","90Ω","600Ω","-"
"C841157","BZX84C4V3","LGE","2550","50","50","https://www.lcsc.com/product-detail/C841157.html","SOT-23","Tape & Reel (TR)","1 Independent","350mW","4.3V","3uA@1V","4V~4.6V","-65℃~+150℃","90Ω","600Ω","-"
"C841158","BZX84C4V7","LGE","2560","20","20","https://www.lcsc.com/product-detail/C841158.html","SOT-23","Tape & Reel (TR)","1 Independent","350mW","4.7V","3uA@2V","4.4V~5V","-65℃~+150℃","80Ω","500Ω","-"
"C841159","BZX84C5V6","LGE","1940","20","20","https://www.lcsc.com/product-detail/C841159.html","SOT-23","Tape & Reel (TR)","1 Independent","350mW","5.6V","1uA@2V","5.2V~6V","-65℃~+150℃","40Ω","400Ω","-"
"C841160","BZX84C6V2","LGE","12880","20","20","https://www.lcsc.com/product-detail/C841160.html","SOT-23","Tape & Reel (TR)","1 Independent","350mW","6.2V","3uA","5.8V~6.6V","-65℃~+150℃","10Ω","150Ω","-"
"C841161","BZX84C6V8","LGE","3350","50","50","https://www.lcsc.com/product-detail/C841161.html","SOT-23","Tape & Reel (TR)","1 Independent","350mW","6.8V","2uA@4V","6.4V~7.2V","-65℃~+150℃","15Ω","80Ω","-"
"C841162","BZX84C8V2","LGE","800","50","50","https://www.lcsc.com/product-detail/C841162.html","SOT-23","Tape & Reel (TR)","1 Independent","350mW","8.2V","700nA@5V","7.7V~8.7V","-65℃~+150℃","15Ω","80Ω","-"
"C841163","BZX84C9V1","LGE","1800","50","50","https://www.lcsc.com/product-detail/C841163.html","SOT-23","Tape & Reel (TR)","1 Independent","350mW","9.1V","500nA@6V","8.5V~9.6V","-65℃~+150℃","15Ω","100Ω","-"
"C841164","BZX84C15","LGE","3040","20","20","https://www.lcsc.com/product-detail/C841164.html","SOT-23","Tape & Reel (TR)","1 Independent","350mW","15V","100nA","13.8V~15.6V","-65℃~+150℃","30Ω","200Ω","-"
"C841165","BZX84C16","LGE","1350","50","50","https://www.lcsc.com/product-detail/C841165.html","SOT-23","Tape & Reel (TR)","1 Independent","350mW","16V","100nA@11.2V","15.3V~17.1V","-65℃~+150℃","40Ω","200Ω","-"
"C841168","BZX84C22","LGE","640","20","20","https://www.lcsc.com/product-detail/C841168.html","SOT-23","Tape & Reel (TR)","1 Independent","350mW","22V","100nA@15.4V","20.8V~23.3V","-65℃~+150℃","55Ω","250Ω","-"
"C841169","BZX84C36","LGE","50","50","50","https://www.lcsc.com/product-detail/C841169.html","SOT-23","Tape & Reel (TR)","1 Independent","350mW","36V","100nA@25.2V","34V~38V","-65℃~+150℃","90Ω","350Ω","-"
"C841172","BZX84C51","LGE","180","10","10","https://www.lcsc.com/product-detail/C841172.html","SOT-23","Tape & Reel (TR)","1 Independent","350mW","51V","100nA","48V~54V","-65℃~+150℃","180Ω","400Ω","-"
"C841183","BZX84C7V5","LGE","2150","50","50","https://www.lcsc.com/product-detail/C841183.html","SOT-23","Tape & Reel (TR)","1 Independent","350mW","7.5V","1uA","7V~7.9V","-65℃~+150℃","15Ω","80Ω","-"
"C841184","BZX84C11","LGE","2450","50","50","https://www.lcsc.com/product-detail/C841184.html","SOT-23","Tape & Reel (TR)","1 Independent","350mW","11V","100nA","10.4V~11.6V","-65℃~+150℃","20Ω","150Ω","-"
