LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Capacitance,Tolerance,Voltage Rating,Temperature Coefficient,Operating Temperature
C2169965,C0603C750J5GACTU,KEMET,https://datasheet.lcsc.com/datasheet/pdf/39767117ba5ceac409bdd2bc668d7c59.pdf?productCode=C2169965,3850,0.0142,50,50,https://www.lcsc.com/product-detail/C2169965.html,0603,Tape & Reel (TR),75pF,±5%,50V,C0G,
C2168823,C0402C680J5GACTU,KEMET,https://datasheet.lcsc.com/datasheet/pdf/39767117ba5ceac409bdd2bc668d7c59.pdf?productCode=C2168823,3850,0.0118,50,50,https://www.lcsc.com/product-detail/C2168823.html,0402,Tape & Reel (TR),68pF,±5%,50V,C0G,
C527221,CC0805JRX7RABB331,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C527221,3850,0.0146,50,50,https://www.lcsc.com/product-detail/C527221.html,0805,Tape & Reel (TR),330pF,±5%,200V,X7R,
C520040,CC0805JRX7R8BB683,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C520040,3850,0.0189,50,50,https://www.lcsc.com/product-detail/C520040.html,0805,Tape & Reel (TR),68nF,±5%,25V,X7R,
C520038,CC0805JRX7R8BB333,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C520038,3850,0.0240,50,50,https://www.lcsc.com/product-detail/C520038.html,0805,Tape & Reel (TR),33nF,±5%,25V,X7R,
C326961,CC1206JRNPO9BN470,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C326961,3850,0.0428,50,50,https://www.lcsc.com/product-detail/C326961.html,1206,Tape & Reel (TR),47pF,±5%,50V,NP0,
C85981,GRM1885C1H680JA01D,muRata,https://datasheet.lcsc.com/datasheet/pdf/a4d1e2744bd5d44ba57842651a3fd598.pdf?productCode=C85981,3850,0.0182,50,50,https://www.lcsc.com/product-detail/C85981.html,0603,Tape & Reel (TR),68pF,±5%,50V,C0G,
C431634,TDDD500G102J1GV001T,Johanson Dielectrics,https://datasheet.lcsc.com/datasheet/pdf/665627c464d3a645ac531614fceb7f49.pdf?productCode=C431634,3840,0.0586,10,10,https://www.lcsc.com/product-detail/C431634.html,1206,Tape & Reel (TR),1nF,±5%,50V,NP0,
C2170550,C0603C682J3GACTU,KEMET,https://datasheet.lcsc.com/datasheet/pdf/39767117ba5ceac409bdd2bc668d7c59.pdf?productCode=C2170550,3830,0.1608,10,10,https://www.lcsc.com/product-detail/C2170550.html,0603,Tape & Reel (TR),6.8nF,±5%,25V,C0G,
C913595,GRM21A5C2E100JW01D,muRata,https://datasheet.lcsc.com/datasheet/pdf/028ebc2a4713407bdd9dfdba06c0e112.pdf?productCode=C913595,3830,0.0576,10,10,https://www.lcsc.com/product-detail/C913595.html,0805,Tape & Reel (TR),10pF,±5%,250V,C0G,
C2170021,08055A151FAT2A,Kyocera AVX,,3820,0.2193,5,5,https://www.lcsc.com/product-detail/C2170021.html,0805,Tape & Reel (TR),150pF,±1%,50V,C0G,
C519558,CC0603JRX7R7BB474,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C519558,3820,0.0308,20,20,https://www.lcsc.com/product-detail/C519558.html,0603,Tape & Reel (TR),470nF,±5%,16V,X7R,
