LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Type,Resistance,Tolerance,Voltage Rating,Power(Watts),Temperature Coefficient
C6457828,AC0603FR-7W20RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C6457828,10000,0.0055,100,100,https://www.lcsc.com/product-detail/C6457828.html,0603,Tape & Reel (TR),Thick Film Resistor,20Ω,±1%,,200mW,±100ppm/℃
C6118811,AF0603FR-07698RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/ebd14ddabfb2b500a2b3786a8b0d1c4f.pdf?productCode=C6118811,10000,0.0057,100,100,https://www.lcsc.com/product-detail/C6118811.html,0603,Tape & Reel (TR),Thick Film Resistor,698Ω,±1%,,100mW,±100ppm/℃
C4227360,AF0402FR-07220RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/ebd14ddabfb2b500a2b3786a8b0d1c4f.pdf?productCode=C4227360,10000,0.0057,100,100,https://www.lcsc.com/product-detail/C4227360.html,0402,Tape & Reel (TR),Thick Film Resistor,220Ω,±1%,50V,62.5mW,±100ppm/℃
C2936593,AF0402FR-07240KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/ebd14ddabfb2b500a2b3786a8b0d1c4f.pdf?productCode=C2936593,10000,0.0053,100,100,https://www.lcsc.com/product-detail/C2936593.html,0402,Tape & Reel (TR),Thick Film Resistor,240kΩ,±1%,50V,62.5mW,±100ppm/℃
C2100493,AF0603FR-0722KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/ebd14ddabfb2b500a2b3786a8b0d1c4f.pdf?productCode=C2100493,10000,0.0129,50,50,https://www.lcsc.com/product-detail/C2100493.html,0603,Tape & Reel (TR),Thick Film Resistor,22kΩ,±1%,75V,100mW,±100ppm/℃
C2098175,AF0402FR-0727KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/ebd14ddabfb2b500a2b3786a8b0d1c4f.pdf?productCode=C2098175,10000,0.0057,100,100,https://www.lcsc.com/product-detail/C2098175.html,0402,Tape & Reel (TR),Thick Film Resistor,27kΩ,±1%,50V,62.5mW,±100ppm/℃
C2098171,AF0402FR-0724R9L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/ebd14ddabfb2b500a2b3786a8b0d1c4f.pdf?productCode=C2098171,10000,0.0046,100,100,https://www.lcsc.com/product-detail/C2098171.html,0402,Tape & Reel (TR),Thick Film Resistor,24.9Ω,±1%,50V,62.5mW,±100ppm/℃
C2098133,AF0402FR-0736K5L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/ebd14ddabfb2b500a2b3786a8b0d1c4f.pdf?productCode=C2098133,10000,0.0057,100,100,https://www.lcsc.com/product-detail/C2098133.html,0402,Tape & Reel (TR),Thick Film Resistor,36.5kΩ,±1%,50V,62.5mW,±100ppm/℃
C477227,RC0402FR-071M78L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C477227,10000,0.0045,100,100,https://www.lcsc.com/product-detail/C477227.html,0402,Tape & Reel (TR),Thick Film Resistor,1.78MΩ,±1%,50V,62.5mW,±100ppm/℃
C477186,RC0402FR-071K07L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C477186,10000,0.0019,100,100,https://www.lcsc.com/product-detail/C477186.html,0402,Tape & Reel (TR),Thick Film Resistor,1.07kΩ,±1%,50V,62.5mW,±100ppm/℃
