LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Polarity,Clamping Voltage,Reverse Leakage Current (Ir),type,Peak Pulse Power Dissipation (Ppp),Operating Temperature,Reverse Stand-Off Voltage (Vrwm),Voltage - Breakdown,Number of Channels,Peak Pulse Current (Ipp)
C3719589,SMAJ120CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4c7230dc8b40ab9b6a9a19d17f6f6c23.pdf?productCode=C3719589,890,0.0661,5,5,https://www.lcsc.com/product-detail/C3719589.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,193V,1uA,TVS,400W@10/1000us,-65℃~+150℃,120V,133V,1,2.1A
C2649861,SMAJ200CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4c7230dc8b40ab9b6a9a19d17f6f6c23.pdf?productCode=C2649861,790,0.1947,5,5,https://www.lcsc.com/product-detail/C2649861.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,324V,1uA,TVS,400W@10/1000us,-65℃~+150℃,200V,224V,1,1.2A
C148233,SMAJ40A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C148233,660,0.1206,5,5,https://www.lcsc.com/product-detail/C148233.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,64.5V,1uA,TVS,400W@10/1000us,-65℃~+150℃,40V,49.1V,1,6.2A
C224002,SMAJ90CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C224002,595,0.1459,5,5,https://www.lcsc.com/product-detail/C224002.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,146V,1uA,TVS,400W@10/1000us,-65℃~+150℃,90V,111V,1,2.7A@10/1000us
C1974042,SMAJ48A-Q,BOURNS,https://datasheet.lcsc.com/datasheet/pdf/69c7dd3435548b901ded6595255cca67.pdf?productCode=C1974042,530,0.2749,5,5,https://www.lcsc.com/product-detail/C1974042.html,SMA(DO-214AC),Tape & Reel (TR),Unidirectional,100.6V,1uA,TVS,400W,-55℃~+150℃,48V,58.9V,1,27.5A@8/20us
C223997,SMAJ75CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C223997,520,0.1839,5,5,https://www.lcsc.com/product-detail/C223997.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,121V,1uA,TVS,400W@10/1000us,-65℃~+150℃,75V,92.1V,1,3.3A
C148209,SMAJ20A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C148209,455,0.1268,5,5,https://www.lcsc.com/product-detail/C148209.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,32.4V,1uA,TVS,400W@10/1000us,-65℃~+150℃,20V,24.5V,1,12.3A@10/1000us
C1973446,SMAJ110CA,BOURNS,https://datasheet.lcsc.com/datasheet/pdf/c2269dcc58e78eff210a6fcced5b2ea3.pdf?productCode=C1973446,436,0.3363,1,1,https://www.lcsc.com/product-detail/C1973446.html,SMA(DO-214AC),Tape & Reel (TR),Bidirectional,177V,1uA,TVS,400W,-55℃~+150℃,110V,135V,1,68.5A@8/20us
C223990,SMAJ43CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C223990,425,0.0604,5,5,https://www.lcsc.com/product-detail/C223990.html,SMA(DO-214AC),Tape & Reel (TR),Bidirectional,69.4V,1uA,TVS,400W@10/1000us,-65℃~+150℃,43V,52.8V,1,5.8A@10/1000us
C1973005,SMAJ7.0CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4c7230dc8b40ab9b6a9a19d17f6f6c23.pdf?productCode=C1973005,355,0.1154,5,5,https://www.lcsc.com/product-detail/C1973005.html,SMA(DO-214AC),Tape & Reel (TR),Bidirectional,12.9V,200uA,TVS,400W@10/1000us,-65℃~+150℃,7.5V,9.21V,1,31A@10/1000us
C151244,SMAJ440CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C151244,330,0.2931,5,5,https://www.lcsc.com/product-detail/C151244.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,713V,1uA,TVS,600W@10/1000us,-65℃~+150℃,440V,543V,1,600mA
C1975256,SMAJ250A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4c7230dc8b40ab9b6a9a19d17f6f6c23.pdf?productCode=C1975256,279,0.3052,1,1,https://www.lcsc.com/product-detail/C1975256.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,405V,1uA,TVS,600W@10/1000us,-65℃~+150℃,250V,279V,1,1A
C224087,SMAJ180A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C224087,275,0.1153,5,5,https://www.lcsc.com/product-detail/C224087.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,292V,1uA,TVS,400W@10/1000us,-65℃~+150℃,180V,222V,1,1.4A
C3719886,SMAJ58A,BOURNS,https://datasheet.lcsc.com/datasheet/pdf/aa85f4be34e79c2ac35b72c3ff6961b4.pdf?productCode=C3719886,270,0.3921,5,5,https://www.lcsc.com/product-detail/C3719886.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,93.6V,1uA,TVS,400W,-55℃~+150℃,58V,64.4V,1,4.3A
C3720611,SMAJ100CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4c7230dc8b40ab9b6a9a19d17f6f6c23.pdf?productCode=C3720611,240,0.2182,5,5,https://www.lcsc.com/product-detail/C3720611.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,162V,1uA,TVS,400W@10/1000us,-65℃~+150℃,100V,111V,1,2.5A
C3720382,SMAJ9.0A,BOURNS,https://datasheet.lcsc.com/datasheet/pdf/aa85f4be34e79c2ac35b72c3ff6961b4.pdf?productCode=C3720382,235,0.1396,5,5,https://www.lcsc.com/product-detail/C3720382.html,SMA(DO-214AC),Tape & Reel (TR),Unidirectional,15.4V,10uA,TVS,400W,-55℃~+150℃,9V,11.1V,1,26A
C315988,SMAJ64A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C315988,175,0.1120,5,5,https://www.lcsc.com/product-detail/C315988.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,103V,3.9uA,TVS,400W@10/1000us,-65℃~+150℃,64V,71.1V,1,3.9A
C1517900,SMAJ30CA-Q,BOURNS,https://datasheet.lcsc.com/datasheet/pdf/69c7dd3435548b901ded6595255cca67.pdf?productCode=C1517900,160,0.2988,5,5,https://www.lcsc.com/product-detail/C1517900.html,SMA(DO-214AC),Tape & Reel (TR),Bidirectional,62.9V,1uA,TVS,400W,-55℃~+150℃,30V,36.8V,1,41.5A@8/20us
C224000,SMAJ85A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C224000,150,0.1297,5,5,https://www.lcsc.com/product-detail/C224000.html,DO-214AC(SMA),,Unidirectional,137V,1uA,TVS,400W@10/1000us,-65℃~+150℃,85V,104V,1,2.9A@10/1000us
C3720124,SMAJ6.0A,BOURNS,https://datasheet.lcsc.com/datasheet/pdf/aa85f4be34e79c2ac35b72c3ff6961b4.pdf?productCode=C3720124,105,0.2041,5,5,https://www.lcsc.com/product-detail/C3720124.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,10.3V,800uA,TVS,400W,-55℃~+150℃,6V,6.67V,1,38.8A
C3720394,SMAJ400A,BOURNS,https://datasheet.lcsc.com/datasheet/pdf/aa85f4be34e79c2ac35b72c3ff6961b4.pdf?productCode=C3720394,100,0.9245,1,1,https://www.lcsc.com/product-detail/C3720394.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,648V,1uA,TVS,400W,-55℃~+150℃,400V,447V,1,600mA
C1973443,SMAJ130CA,BOURNS,https://datasheet.lcsc.com/datasheet/pdf/c2269dcc58e78eff210a6fcced5b2ea3.pdf?productCode=C1973443,100,0.3274,5,5,https://www.lcsc.com/product-detail/C1973443.html,SMA(DO-214AC),Tape & Reel (TR),Bidirectional,209V,1uA,TVS,400W,-55℃~+150℃,130V,159V,1,2.1A@8/20us
C3719520,SMAJ43CA,BOURNS,https://datasheet.lcsc.com/datasheet/pdf/aa85f4be34e79c2ac35b72c3ff6961b4.pdf?productCode=C3719520,95,0.1583,5,5,https://www.lcsc.com/product-detail/C3719520.html,SMA(DO-214AC),Tape & Reel (TR),Bidirectional,69.4V,1uA,TVS,400W,-55℃~+150℃,43V,47.8V,1,5.8A
C3720076,SMAJ350A,BOURNS,https://datasheet.lcsc.com/datasheet/pdf/aa85f4be34e79c2ac35b72c3ff6961b4.pdf?productCode=C3720076,90,0.5043,1,1,https://www.lcsc.com/product-detail/C3720076.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,567V,1uA,TVS,400W,-55℃~+150℃,350V,391V,1,700mA
C3720168,SMAJ75CA,BOURNS,https://datasheet.lcsc.com/datasheet/pdf/aa85f4be34e79c2ac35b72c3ff6961b4.pdf?productCode=C3720168,85,0.2961,5,5,https://www.lcsc.com/product-detail/C3720168.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,121V,1uA,TVS,400W,-55℃~+150℃,75V,83.3V,1,3.3A
C1973420,SMAJ100CA,BOURNS,https://datasheet.lcsc.com/datasheet/pdf/c2269dcc58e78eff210a6fcced5b2ea3.pdf?productCode=C1973420,85,0.2403,5,5,https://www.lcsc.com/product-detail/C1973420.html,SMA(DO-214AC),Tape & Reel (TR),Bidirectional,162V,1uA,TVS,400W,-55℃~+150℃,100V,123V,1,2.5A@8/20us
C148229,SMAJ300CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C148229,83,0.6462,1,1,https://www.lcsc.com/product-detail/C148229.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,486V,1uA,TVS,600W@10/1000us,-65℃~+150℃,300V,371V,1,800mA
C1974945,SMAJ22A-Q,BOURNS,https://datasheet.lcsc.com/datasheet/pdf/69c7dd3435548b901ded6595255cca67.pdf?productCode=C1974945,79,0.4160,1,1,https://www.lcsc.com/product-detail/C1974945.html,SMA(DO-214AC),Tape & Reel (TR),Unidirectional,46.2V,1uA,TVS,400W,-55℃~+150℃,22V,26.9V,1,56.5A@8/20us
