LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Polarity,Clamping Voltage,Reverse Leakage Current (Ir),type,Peak Pulse Power Dissipation (Ppp),Operating Temperature,Reverse Stand-Off Voltage (Vrwm),Voltage - Breakdown,Number of Channels,Peak Pulse Current (Ipp)
C1973134,P6SMB200CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/7530c009ea42a79898e1c2f47b27d7df.pdf?productCode=C1973134,485,0.4582,5,5,https://www.lcsc.com/product-detail/C1973134.html,DO-214AA(SMBJ),Tape & Reel (TR),Bidirectional,274V,1uA,TVS,600W@10/1000us,-65℃~+150℃,171V,210V,1,1.9A@10/1000us
C1850454,1.5SMB36CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/81646d782d1586f03d8f832f24e3103c.pdf?productCode=C1850454,430,0.2816,5,5,https://www.lcsc.com/product-detail/C1850454.html,DO-214AA(SMBJ),Tape & Reel (TR),Bidirectional,64.5V,1uA,TVS,1.5kW@10/1000us,-65℃~+150℃,30.8V,34.2V,1,167.8A@8/20us
C1850449,1.5SMB33CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/81646d782d1586f03d8f832f24e3103c.pdf?productCode=C1850449,400,0.3152,5,5,https://www.lcsc.com/product-detail/C1850449.html,DO-214AA(SMBJ),Tape & Reel (TR),Bidirectional,59V,1uA,TVS,1.5kW@10/1000us,-65℃~+150℃,28.2V,31.4V,1,183.2A@8/20us
C1972909,SMBJ100CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C1972909,395,0.1786,5,5,https://www.lcsc.com/product-detail/C1972909.html,DO-214AA,Tape & Reel (TR),Bidirectional,162V,1uA,TVS,600W@10/1000us,-65℃~+150℃,100V,123V,1,3.7A@10/1000us
C3706875,1.5SMB39CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/81646d782d1586f03d8f832f24e3103c.pdf?productCode=C3706875,333,1.5532,1,1,https://www.lcsc.com/product-detail/C3706875.html,DO-214AA(SMBJ),Tape & Reel (TR),Bidirectional,69.6V,1uA,TVS,1.5kW,-65℃~+150℃,33.3V,37.1V,1,155.1A@8/20us
C224026,SMBJ70CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C224026,325,0.1483,5,5,https://www.lcsc.com/product-detail/C224026.html,DO-214AA,Tape & Reel (TR),Bidirectional,113V,1uA,TVS,600W@10/1000us,-65℃~+150℃,70V,86V,1,5.3A@10/1000us
C1883613,1KSMB24A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/71b715e30fe86ecd8d5110ae9c92fdf2.pdf?productCode=C1883613,277,0.6369,1,1,https://www.lcsc.com/product-detail/C1883613.html,DO-214AA(SMBJ),Tape & Reel (TR),Unidirectional,33.2V,1uA,TVS,1kW@10/1000us,-65℃~+150℃,20.5V,28.4V,1,26.7A@10/1000us
C1975779,1KSMB120CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/71b715e30fe86ecd8d5110ae9c92fdf2.pdf?productCode=C1975779,235,1.0219,1,1,https://www.lcsc.com/product-detail/C1975779.html,DO-214AA(SMBJ),Tape & Reel (TR),Bidirectional,165V,1uA,TVS,1kW@10/1000us,-65℃~+150℃,102V,114V,1,6.1A
C1883610,1KSMB27CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/71b715e30fe86ecd8d5110ae9c92fdf2.pdf?productCode=C1883610,221,0.6080,1,1,https://www.lcsc.com/product-detail/C1883610.html,DO-214AA(SMBJ),Tape & Reel (TR),Bidirectional,41.4V,1uA,TVS,1kW@10/1000us,-65℃~+150℃,25.6V,31.5V,1,24.2A@10/1000us
C3710979,TPSMB22CA-VR,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/86b0f1bd3d2f1ef5b473e8f805feb537.pdf?productCode=C3710979,219,0.7652,1,1,https://www.lcsc.com/product-detail/C3710979.html,DO-214AA(SMBJ),Tape & Reel (TR),Bidirectional,35.5V,1uA,TVS,600W,-65℃~+175℃,22V,24.4V,,16.9A
